,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
0,1,1,6,15,16,4,3,0,7,4,6,4,3,4,1,4,7,43,2
1,1,1,6,15,17,9,10,10,11,11,6,10,18,8,3,14,14,115,2
2,1,1,6,15,18,4,1,5,3,0,1,1,4,2,5,6,4,32,2
3,1,1,6,15,19,0,0,0,0,1,0,0,0,0,0,1,0,2,2
4,1,1,6,15,20,34,32,46,44,49,34,49,56,34,24,49,32,449,2
5,1,1,6,15,10,4,2,1,2,4,4,3,4,8,1,3,5,37,2
6,1,1,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,1,1,6,16,16,172,151,181,155,170,182,173,168,158,144,201,171,1854,2
8,1,1,6,16,17,96,68,107,97,96,89,80,105,91,101,79,94,1007,2
9,1,1,6,16,18,114,106,122,124,138,94,89,93,126,105,152,171,1320,2
10,1,1,6,16,19,0,0,0,0,0,1,0,0,0,0,0,0,1,2
11,1,1,6,16,20,86,131,143,106,94,86,78,79,87,56,79,62,1001,2
12,1,1,6,16,10,190,206,231,188,201,177,176,186,185,203,226,235,2214,2
13,1,1,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,1,1,7,17,21,4,6,2,6,5,0,9,5,7,7,11,7,65,2
15,1,1,9,15,25,1,0,1,0,0,0,0,0,0,0,0,0,1,2
16,1,1,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,1,1,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,1,1,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,1,1,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,1,1,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21,1,1,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,1,1,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23,1,1,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,1,1,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25,1,1,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26,1,1,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,1,1,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,1,1,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,1,1,8,15,24,0,1,0,0,0,0,0,1,0,0,0,0,2,2
30,1,1,8,15,10,0,0,0,0,0,0,0,0,0,1,1,0,2,2
31,1,1,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,1,1,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,1,1,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
34,1,1,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,1,1,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
